datetime,ES,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1997-09-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-09-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-10-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1997-11-19,95800.0,4748.699999999997,1.3,100548.7,0.00548700000000002,1.005487,0.0
1997-11-20,97325.0,4748.699999999997,1.3,102073.7,0.015166779878805103,1.0207370000000002,0.0
1997-11-21,98000.0,4748.699999999997,1.3,102748.7,0.006612868936856309,1.027487,0.0
1997-11-24,96000.0,4748.699999999997,1.3,100748.7,-0.019464966466729017,1.007487,0.020000000000000018
1997-11-25,96200.0,4748.699999999997,1.3,100948.7,0.0019851372772055065,1.009487,0.018000000000000016
1997-11-26,96550.0,4748.699999999997,1.3,101298.7,0.0034671075506669258,1.012987,0.014499999999999957
1997-11-27,96550.0,4748.699999999997,1.3,101298.7,0.0,1.012987,0.014499999999999957
1997-11-28,96525.0,4748.699999999997,1.3,101273.7,-0.00024679487495893326,1.012737,0.01475000000000004
1997-12-01,99025.0,4748.699999999997,1.3,103773.7,0.024685579770463706,1.0377370000000001,0.0
1997-12-02,98600.0,4748.699999999997,1.3,103348.7,-0.004095450003228196,1.033487,0.004250000000000087
1997-12-03,98850.0,4748.699999999997,1.3,103598.7,0.0024189951107271845,1.0359870000000002,0.0017499999999999183
1997-12-04,98800.0,4748.699999999997,1.3,103548.7,-0.0004826315388127833,1.0354870000000003,0.0022499999999998632
1997-12-05,99775.0,4748.699999999997,1.3,104523.7,0.009415859397558846,1.0452370000000002,0.0
1997-12-08,99575.0,4748.699999999997,1.3,104323.7,-0.0019134416405083288,1.0432370000000002,0.0020000000000000018
1997-12-09,99000.0,4748.699999999997,1.3,103748.7,-0.0055116910155602605,1.037487,0.007750000000000146
1997-12-10,98125.0,4748.699999999997,1.3,102873.7,-0.008433840616798083,1.028737,0.01650000000000018
1997-12-11,96525.0,4748.699999999997,1.3,101273.7,-0.015553051946221474,1.012737,0.032500000000000195
1997-12-12,96650.0,4748.699999999997,1.3,101398.7,0.0012342789885231298,1.013987,0.03125000000000022
1997-12-15,97425.0,4748.699999999997,1.3,102173.7,0.007643096016023865,1.021737,0.0235000000000003
1997-12-16,98050.0,4748.699999999997,1.3,102798.7,0.006117034031262403,1.0279869999999998,0.01725000000000043
1997-12-17,97550.0,4748.699999999997,1.3,102298.7,-0.004863874737715546,1.0229869999999999,0.022250000000000325
1997-12-18,96500.0,4748.699999999997,1.3,101248.7,-0.01026406005159397,1.012487,0.03275000000000028
1997-12-19,0.0,101247.4,2.6,101247.4,-1.2839671027942146e-05,1.0124739999999999,0.03276300000000032
1997-12-22,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1997-12-23,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1997-12-24,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1997-12-26,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1997-12-29,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1997-12-30,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1997-12-31,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1998-01-02,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1998-01-05,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1998-01-06,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1998-01-07,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1998-01-08,0.0,101247.4,2.6,101247.4,0.0,1.0124739999999999,0.03276300000000032
1998-01-09,94100.0,3846.0999999999913,3.9000000000000004,97946.09999999999,-0.03260626939555977,0.9794609999999999,0.06577600000000028
1998-01-12,95600.0,3846.0999999999913,3.9000000000000004,99446.09999999999,0.01531454544897648,0.9944609999999998,0.050776000000000376
1998-01-13,97000.0,3846.0999999999913,3.9000000000000004,100846.09999999999,0.014077977919697116,1.0084609999999998,0.036776000000000364
1998-01-14,97350.0,3846.0999999999913,3.9000000000000004,101196.09999999999,0.003470634957623453,1.0119609999999997,0.03327600000000053
1998-01-15,96900.0,3846.0999999999913,3.9000000000000004,100746.09999999999,-0.004446811685430596,1.0074609999999997,0.037776000000000476
1998-01-16,98200.0,3846.0999999999913,3.9000000000000004,102046.09999999999,0.012903725305495772,1.0204609999999998,0.024776000000000353
1998-01-20,99400.0,3846.0999999999913,3.9000000000000004,103246.09999999999,0.01175939109872881,1.0324609999999996,0.012776000000000565
1998-01-21,98475.0,3846.0999999999913,3.9000000000000004,102321.09999999999,-0.008959176181957518,1.0232109999999996,0.022026000000000545
1998-01-22,97600.0,3846.0999999999913,3.9000000000000004,101446.09999999999,-0.008551510880942415,1.0144609999999996,0.03077600000000058
1998-01-23,96800.0,3846.0999999999913,3.9000000000000004,100646.09999999999,-0.007885961116297246,1.0064609999999996,0.03877600000000059
1998-01-26,96875.0,3846.0999999999913,3.9000000000000004,100721.09999999999,0.0007451853574058642,1.0072109999999996,0.03802600000000056
1998-01-27,98575.0,3846.0999999999913,3.9000000000000004,102421.09999999999,0.01687829064615065,1.0242109999999998,0.021026000000000433
1998-01-28,99250.0,3846.0999999999913,3.9000000000000004,103096.09999999999,0.00659043888417532,1.0309609999999998,0.0142760000000004
1998-01-29,99950.0,3846.0999999999913,3.9000000000000004,103796.09999999999,0.006789781572726916,1.037961,0.007276000000000282
1998-01-30,99525.0,3846.0999999999913,3.9000000000000004,103371.09999999999,-0.0040945661734882455,1.0337109999999998,0.01152600000000037
1998-02-02,101650.0,3846.0999999999913,3.9000000000000004,105496.09999999999,0.02055700287604556,1.0549609999999998,0.0
1998-02-03,102050.0,3846.0999999999913,3.9000000000000004,105896.09999999999,0.003791609358070991,1.0589609999999998,0.0
1998-02-04,102100.0,3846.0999999999913,3.9000000000000004,105946.09999999999,0.00047216091999602305,1.0594609999999998,0.0
1998-02-05,101675.0,3846.0999999999913,3.9000000000000004,105521.09999999999,-0.004011473758826378,1.055211,0.004249999999999865
1998-02-06,102875.0,3846.0999999999913,3.9000000000000004,106721.09999999999,0.01137213315630703,1.0672109999999997,0.0
1998-02-09,102475.0,3846.0999999999913,3.9000000000000004,106321.09999999999,-0.0037480873041976226,1.0632109999999997,0.0040000000000000036
1998-02-10,103425.0,3846.0999999999913,3.9000000000000004,107271.09999999999,0.008935197246830562,1.0727109999999997,0.0
1998-02-11,103350.0,3846.0999999999913,3.9000000000000004,107196.09999999999,-0.0006991631483223015,1.0719609999999997,0.0007500000000000284
1998-02-12,103800.0,3846.0999999999913,3.9000000000000004,107646.09999999999,0.004197913916644369,1.0764609999999997,0.0
1998-02-13,103275.0,3846.0999999999913,3.9000000000000004,107121.09999999999,-0.004877092621098256,1.0712109999999997,0.005249999999999977
1998-02-16,103000.0,3846.0999999999913,3.9000000000000004,106846.09999999999,-0.002567187976971863,1.0684609999999997,0.008000000000000007
1998-02-17,103750.0,3846.0999999999913,3.9000000000000004,107596.09999999999,0.007019441982440089,1.0759609999999995,0.000500000000000167
1998-02-18,104650.0,3846.0999999999913,3.9000000000000004,108496.09999999999,0.008364615446098789,1.0849609999999994,0.0
1998-02-19,104100.0,3846.0999999999913,3.9000000000000004,107946.09999999999,-0.005069306638671778,1.0794609999999993,0.00550000000000006
1998-02-20,104825.0,3846.0999999999913,3.9000000000000004,108671.09999999999,0.006716314901603626,1.0867109999999993,0.0
1998-02-23,105125.0,3846.0999999999913,3.9000000000000004,108971.09999999999,0.00276062356965201,1.0897109999999994,0.0
1998-02-24,104350.0,3846.0999999999913,3.9000000000000004,108196.09999999999,-0.007111977395841684,1.0819609999999995,0.007749999999999924
1998-02-25,105775.0,3846.0999999999913,3.9000000000000004,109621.09999999999,0.01317053017622638,1.0962109999999996,0.0
