Date,Commercial Long,Commercial Short,Commercial Index
1990-01-15,1462.0,529.0,78.74967841523025
1990-01-31,2626.0,522.0,100.0
1990-02-15,2458.0,481.0,96.99905482041588
1990-03-15,2469.0,725.0,91.49338374291115
1990-03-30,1748.0,0.0,91.58790170132325
1990-04-30,1296.0,544.0,61.73223889046137
1990-05-15,1411.0,544.0,64.98726294933485
1990-07-13,117.0,1688.0,0.0
1990-08-15,767.0,1398.0,25.578231292517007
1990-08-31,1022.0,2177.0,11.319727891156463
1990-09-14,1398.0,2386.0,15.863945578231293
1990-10-15,864.0,842.0,43.3469387755102
1990-11-15,905.0,1084.0,37.87755102040816
1990-11-30,2290.0,1282.0,70.17687074829932
1990-12-14,2455.0,1585.0,66.421768707483
1991-01-15,1078.0,1063.0,43.156462585034014
1991-02-15,640.0,1089.0,30.53061224489796
1991-06-14,1190.0,1060.0,46.285714285714285
1992-04-15,1523.0,1969.0,30.612244897959183
1992-04-30,1523.0,1474.0,44.08163265306123
1992-05-15,1331.0,1197.0,46.394557823129254
1992-05-29,1330.0,1567.0,36.29931972789116
1992-06-15,1502.0,1575.0,40.76190476190476
1992-08-14,2711.0,0.0,100.0
1992-08-31,2773.0,10.0,100.0
1992-09-15,4252.0,3322.0,57.706506691278264
1992-09-30,2361.0,1207.0,62.87494231656668
1992-10-06,2363.0,1234.0,62.29810798338717
1992-10-13,2363.0,1412.0,58.19104753114905
1992-10-20,2363.0,1315.0,60.42916474388556
1992-10-27,2637.0,971.0,74.68850946008307
1992-11-03,3267.0,112.0,100.0
1992-11-10,3221.0,122.0,98.81506559458316
1992-11-17,3357.0,122.0,100.0
1992-11-24,3251.0,122.0,97.58542141230069
1992-12-01,3291.0,389.0,92.11461046649302
1992-12-08,2677.0,1026.0,57.00325732899023
1992-12-15,3284.0,1405.0,63.192182410423456
1992-12-22,1680.0,0.0,57.79044516829533
1992-12-29,1656.0,0.0,57.13897937024973
1993-01-05,3631.0,5.0,100.0
1993-01-12,3811.0,0.0,100.0
1993-01-19,4019.0,0.0,100.0
1993-01-26,3924.0,0.0,97.87234042553192
1993-02-02,3468.0,361.0,78.57142857142857
1993-02-09,3188.0,366.0,71.875
1993-02-16,2499.0,428.0,54.22932330827068
1993-02-23,1740.0,2002.0,0.0
1993-03-02,1650.0,3610.0,0.0
1993-03-09,1650.0,3422.0,3.1443385181468475
1993-03-16,2323.0,5135.0,0.0
1993-03-23,319.0,2804.0,4.787000439174352
1993-03-30,309.0,2659.0,6.763285024154589
1993-04-06,502.0,938.0,34.78260869565217
