Date,Commercial Long,Commercial Short,Commercial Index
1990-08-15,10470.0,16137.0,18.790326811100037
1990-08-31,13539.0,17525.0,27.6084561716414
1990-09-14,12735.0,19847.0,11.210197765304516
1990-09-28,17141.0,16165.0,53.637937365577294
1990-10-15,22280.0,17719.0,72.44400146881394
1990-10-31,21469.0,19971.0,56.376226197345645
1990-11-15,19178.0,17946.0,54.9808529612338
1990-11-30,20702.0,16461.0,70.7653569742433
1990-12-14,23512.0,14619.0,95.1686513140639
1990-12-31,18525.0,16611.0,58.55846404028747
1991-01-15,13290.0,17782.0,24.954099564601584
1991-01-31,22596.0,15414.0,86.19314903215654
1991-02-15,20078.0,15676.0,71.60992498557415
1991-02-28,17263.0,17133.0,51.69771800242531
1991-03-15,16793.0,15767.0,56.63653400948076
1991-03-28,16118.0,13928.0,63.05258516150369
1991-04-15,14404.0,15585.0,44.471392349244844
1991-04-30,20489.0,14866.0,80.02809503450803
1991-05-15,28021.0,14295.0,100.0
1991-05-31,28716.0,14546.0,100.0
1991-06-14,23307.0,16128.0,67.70900692840647
1991-06-28,19957.0,16362.0,51.15473441108545
1991-07-15,18481.0,13770.0,56.3094688221709
1991-07-31,16142.0,14162.0,43.69515011547344
1991-08-15,16073.0,15173.0,37.64683770322338
1991-08-30,15551.0,20574.0,9.81580678507659
1991-09-16,14606.0,24172.0,0.0
1991-09-30,14169.0,24033.0,0.0
1991-10-15,16448.0,22849.0,14.408754264791545
1991-10-31,14469.0,25629.0,0.0
1991-11-15,15861.0,22181.0,19.10777733912357
1991-11-29,16823.0,19067.0,35.199368337939205
1991-12-13,27847.0,13044.0,100.0
1991-12-31,27961.0,14108.0,96.34094673188768
1992-01-15,33291.0,16167.0,100.0
1992-01-31,29098.0,22790.0,61.75929854334606
1992-02-14,26410.0,28988.0,30.342242964220056
1992-02-28,20835.0,34837.0,0.0
1992-03-13,21361.0,32405.0,9.503309130630342
1992-03-31,21038.0,32748.0,7.363618839555356
1992-04-15,22462.0,26428.0,32.24314078262546
1992-04-30,21413.0,24921.0,33.71457945126261
1992-05-15,19352.0,24821.0,27.414380260875152
1992-05-29,17069.0,24237.0,21.955921094904582
1992-06-15,14271.0,33638.0,0.0
1992-06-30,14464.0,33732.0,0.2712997725466553
1992-07-15,14801.0,33498.0,1.8360691677399907
1992-07-31,14407.0,26241.0,20.643446329231864
1992-08-14,15438.0,19116.0,42.99416294428763
1992-08-31,14469.0,21010.0,35.148392754377795
1992-09-15,18993.0,18470.0,54.50659066619166
1992-09-30,24099.0,19245.0,66.3752706146721
1992-10-06,25643.0,18306.0,73.17968814228166
1992-10-13,26724.0,18997.0,74.24844482201091
1992-10-20,25174.0,18424.0,71.57107231920199
1992-10-27,27243.0,18920.0,75.88172426077664
1992-11-03,23670.0,19036.0,65.7723822312351
1992-11-10,27975.0,20614.0,73.24545778411115
1992-11-17,27752.0,20434.0,73.12762050916665
1992-11-24,28206.0,21089.0,72.57679975884464
1992-12-01,26203.0,23243.0,80.63199711087034
1992-12-08,26464.0,26579.0,69.52690501986277
1992-12-15,27681.0,28631.0,66.51137594799566
1992-12-22,25110.0,31851.0,45.597688696280244
1992-12-29,24896.0,33907.0,37.399783315276274
1993-01-05,21769.0,34906.0,22.49909714698447
1993-01-12,26469.0,34824.0,39.76886962802456
1993-01-19,29267.0,34427.0,51.307331166486094
1993-01-26,30257.0,36351.0,47.93427230046948
1993-02-02,29430.0,34902.0,50.180570603105814
1993-02-09,27236.0,34914.0,42.006451379072885
1993-02-16,29092.0,34610.0,48.77498149518875
1993-02-23,30659.0,32106.0,54.473438956197576
1993-03-02,34430.0,24716.0,100.0
1993-03-09,32722.0,24076.0,95.32624392805566
1993-03-16,28340.0,26991.0,63.3932869458667
1993-03-23,27896.0,27990.0,57.07846483742506
1993-03-30,28020.0,27505.0,59.743556080696685
1993-04-06,29287.0,24195.0,79.7733140781585
1993-04-13,33024.0,27471.0,81.79073125902586
1993-04-20,35184.0,30163.0,79.46260557524835
1993-04-27,31887.0,28175.0,73.73419106384841
1993-05-04,31517.0,27407.0,75.47590915058422
1993-05-11,29025.0,27631.0,63.59021487024638
1993-05-18,28856.0,29248.0,55.77436436042186
1993-05-25,28724.0,32696.0,40.10765393199422
1993-06-01,30150.0,33206.0,44.11623123714498
1993-06-08,28304.0,37534.0,17.097720012253294
1993-06-15,27637.0,38842.0,8.454772220034133
1993-06-22,29506.0,41129.0,6.625530611351801
1993-06-29,28737.0,40881.0,4.345542864644873
1993-07-06,24668.0,41785.0,0.0
1993-07-13,26106.0,37689.0,20.625395997167455
1993-07-20,27543.0,37679.0,26.01841153889158
1993-07-27,27984.0,36720.0,31.23625656889419
1993-08-03,28980.0,38589.0,27.982557489471134
1993-08-10,32284.0,37010.0,46.18165554768738
1993-08-17,32760.0,33989.0,59.21508702620103
1993-08-24,30950.0,35806.0,45.697141366329994
1993-08-31,31338.0,33143.0,59.434072118930246
1993-09-07,27679.0,32264.0,55.2801058667843
1993-09-14,32589.0,25445.0,100.0
1993-09-21,38021.0,30527.0,100.0
1993-09-28,38714.0,28480.0,100.0
1993-10-05,30838.0,25176.0,83.2839749917736
1993-10-12,29585.0,25198.0,78.62235384446637
1993-10-19,29907.0,24318.0,83.01707433000621
1993-10-26,30218.0,25369.0,80.3115059778436
