Date,Commercial Long,Commercial Short,Commercial Index
1987-01-30,11537.0,19777.0,57.659246607132914
1987-02-13,8902.0,19576.0,53.14037465421532
1987-02-27,8991.0,20906.0,50.83638118931363
1987-03-13,13648.0,26997.0,48.17407125485027
1987-03-31,7055.0,31980.0,26.682509329224143
1987-04-15,9677.0,32702.0,30.209977164287174
1987-04-30,11800.0,29445.0,40.19828082357091
1987-05-15,14053.0,27843.0,47.35532740471196
1987-05-29,25786.0,25813.0,72.90719046469748
1987-06-15,18556.0,20839.0,68.71878655106474
1987-06-30,17129.0,7588.0,90.67077585726751
1987-07-15,13112.0,8079.0,82.30139427807586
1987-07-31,13389.0,13214.0,73.28221599242522
1987-08-14,15426.0,11586.0,74.90172220142269
1987-08-31,10411.0,34721.0,1.5573168570053937
1987-09-15,19487.0,20939.0,59.438859486971715
1987-09-30,18090.0,16971.0,65.94920361601378
1987-10-15,14501.0,36424.0,7.601732040211694
1987-10-30,16855.0,35076.0,16.97601985262465
1987-11-13,24414.0,38332.0,27.87217340659897
1987-11-30,26687.0,44902.0,18.02794196668458
1987-12-15,18202.0,21778.0,57.35894680279419
1987-12-31,9768.0,24835.0,26.485760343901127
1988-01-15,21534.0,23140.0,67.65798177914466
1988-01-29,24025.0,27009.0,63.659838681599254
1988-02-12,28939.0,30595.0,67.51291127487958
1988-02-29,26861.0,38220.0,39.360529217199556
1988-03-15,16670.0,45536.0,0.0
1988-03-31,10604.0,38887.0,1.5179524565834353
1988-04-15,7738.0,27770.0,23.00101543989377
1988-04-29,12002.0,22680.0,47.35595073814669
1988-05-13,15578.0,29321.0,39.37563464993361
1988-05-31,21626.0,21388.0,75.77785299554769
1988-06-15,21503.0,9454.0,100.0
1988-06-30,19867.0,11738.0,90.41916167664671
1988-07-15,24870.0,21452.0,78.90504704875963
1988-07-29,23648.0,20632.0,77.9225223023341
1988-08-15,22164.0,19803.0,76.32164242942686
1988-08-31,37284.0,13232.0,100.0
1988-09-15,38118.0,24629.0,80.03892815299142
1988-09-30,16545.0,5911.0,74.64378850296686
1988-10-14,15690.0,23622.0,39.5593181904078
1988-10-31,16843.0,26142.0,36.97607619335576
1988-11-15,16197.0,31054.0,26.4730337503307
1988-11-30,16371.0,29125.0,30.44710684455195
1988-12-15,32477.0,27163.0,64.59049850712422
1988-12-30,17487.0,4960.0,78.22102120261536
1989-01-13,22251.0,7509.0,82.40674250727541
1989-01-31,24368.0,11828.0,78.24558751275558
1989-02-15,17853.0,24031.0,42.87388034317245
1989-02-28,18438.0,22968.0,45.98813258248611
1989-03-15,29367.0,2182.0,100.0
1989-03-31,28226.0,5131.0,92.70307398619114
1989-04-14,23232.0,10641.0,73.68933439100022
1989-04-28,27510.0,12962.0,73.23633437109515
1989-05-15,45360.0,19407.0,97.06959706959707
1989-05-31,49678.0,32864.0,75.33181104609676
1989-06-15,64000.0,53503.0,60.306360306360304
1989-06-30,22378.0,10899.0,62.64211978497693
1989-07-14,26380.0,15753.0,60.615574901289186
1989-07-31,21775.0,22028.0,34.73669187954902
1989-08-15,32377.0,18043.0,69.43294800437657
1989-08-31,50160.0,18628.0,100.0
1989-09-15,68979.0,36739.0,100.0
1989-09-29,25654.0,25079.0,32.76641824320021
1989-10-13,29210.0,21348.0,48.238741321103255
1989-10-31,35263.0,22600.0,58.43259655604391
1989-11-15,35867.0,23234.0,58.36889823130985
1989-11-30,28945.0,35657.0,17.294095165297154
1989-12-15,37553.0,28689.0,48.04640618749166
1989-12-29,21579.0,28688.0,0.0
1990-01-15,34998.0,20872.0,53.96579328572518
1990-01-31,29752.0,36362.0,1.2681389616000407
1990-02-15,30333.0,35269.0,5.522376680474726
1990-02-28,50009.0,23228.0,86.12671224173423
1990-03-15,64271.0,38443.0,83.70479554753615
1990-03-30,27950.0,17417.0,44.834684490075986
1990-04-12,29849.0,22552.0,36.61084144450939
1990-04-30,33591.0,28545.0,30.89023863376452
1990-05-15,28059.0,51360.0,0.0
1990-05-31,28080.0,49183.0,3.957436848454295
1990-06-15,30293.0,31046.0,40.59703642354297
1990-06-29,11576.0,18979.0,28.623899461658954
1990-07-13,12593.0,48913.0,0.0
1990-07-31,17364.0,40726.0,18.900233372228705
1990-08-15,21383.0,34140.0,34.36843640606768
1990-08-31,21439.0,47370.0,15.153150525087515
1990-09-14,38921.0,62812.0,18.128646441073514
1990-09-28,22670.0,39227.0,28.825845974329056
1990-10-15,20986.0,56220.0,1.7210503795502448
1990-10-31,27788.0,57113.0,11.0854027669926
1990-11-15,39651.0,49378.0,42.14354764583763
1990-11-30,46042.0,48298.0,53.983296619704916
1990-12-14,59135.0,48197.0,74.89263244639547
1990-12-31,30636.0,9745.0,90.66575807039509
1991-01-15,24954.0,10689.0,80.16513208982425
1991-01-31,27136.0,34721.0,45.538105576773745
1991-02-15,30546.0,43999.0,36.2387283878227
1991-02-28,38078.0,33965.0,64.07663903900097
1991-03-15,40270.0,29026.0,75.37756929367205
1991-03-28,24111.0,7793.0,84.69781811160456
1991-04-15,15866.0,19146.0,57.751131775357884
1991-04-30,18473.0,24974.0,52.12109559350475
1991-05-15,21931.0,25628.0,57.02225096572337
1991-05-31,26433.0,24781.0,66.37185156700635
1991-06-14,41927.0,21810.0,98.64711331736903
1991-06-28,14409.0,22463.0,49.40658265018965
1991-07-15,12292.0,40825.0,13.61101886000944
1991-07-31,20490.0,23817.0,57.66897974165807
1991-08-15,22812.0,33896.0,43.02895322939867
1991-08-30,30722.0,29764.0,64.48463251670378
1991-09-16,33562.0,58042.0,19.160801781737195
1991-09-30,11976.0,37703.0,16.938975501113585
1991-10-15,21478.0,61927.0,0.0
1991-10-31,25425.0,45659.0,32.95565699380502
1991-11-15,27578.0,57306.0,17.47799152266058
1991-11-29,34228.0,47162.0,44.8565373328986
1991-12-13,40730.0,51523.0,48.34691881317248
1991-12-31,17877.0,41559.0,27.334528855559178
1992-01-15,24153.0,34411.0,49.21910661884578
1992-01-31,25881.0,42504.0,39.33890301489284
1992-02-14,33544.0,38599.0,58.43872799920748
1992-02-28,40485.0,32077.0,80.66737113231846
1992-03-13,68178.0,38240.0,100.0
1992-03-31,36071.0,11336.0,92.60801000184694
1992-04-15,43636.0,19512.0,91.73995197976899
1992-04-30,43626.0,23783.0,85.65786295764843
1992-05-15,31534.0,34347.0,53.47010101297114
1992-05-29,29229.0,44451.0,35.84042507849461
1992-06-15,34795.0,50788.0,34.745052353417535
1992-06-30,22404.0,32640.0,42.924119510705104
1992-07-15,30609.0,38091.0,46.83677383607768
1992-07-31,41914.0,27733.0,77.6137639052666
1992-08-14,35493.0,31330.0,63.38102206373336
1992-08-31,29958.0,45982.0,34.701010129711456
1992-09-15,29947.0,36910.0,47.574125903931126
1992-09-30,12902.0,32477.0,29.656044440024438
1992-10-06,12248.0,32872.0,28.16571241848637
