Date,Commercial Long,Commercial Short,Commercial Index
1987-01-30,1162.0,2764.0,55.324529362180385
1987-02-13,2031.0,3180.0,68.05282382691767
1987-02-27,1458.0,2279.0,82.48350329934013
1987-03-13,874.0,2259.0,65.56688662267547
1987-03-31,914.0,2859.0,48.77024595080984
1987-04-15,1376.0,3102.0,55.338932213557285
1987-04-30,897.0,2491.0,59.29814037192561
1987-05-15,587.0,2343.0,54.43911217756449
1987-05-29,820.0,2185.0,66.16676664667067
1987-06-15,798.0,3088.0,0.0
1987-06-30,674.0,2818.0,7.111544081831466
1987-07-15,527.0,2522.0,14.369215781782756
1987-07-31,527.0,2846.0,0.0
1987-08-14,636.0,3043.0,0.0
1987-08-31,789.0,3007.0,9.45472736368184
1987-09-15,753.0,2705.0,28.4019975031211
1987-09-30,975.0,2684.0,43.570536828963796
1987-10-15,949.0,2353.0,62.609238451935084
1987-10-30,1270.0,1709.0,100.0
1987-11-13,815.0,1627.0,81.04674796747967
1987-11-30,585.0,1986.0,51.11788617886179
1987-12-15,867.0,2750.0,26.6260162601626
1987-12-31,757.0,2935.0,11.636178861788618
1988-01-15,840.0,2523.0,36.78861788617886
1988-01-29,585.0,2574.0,21.239837398373982
1988-02-12,544.0,3092.0,0.0
1988-02-29,769.0,2226.0,51.73067804646752
1988-03-15,631.0,1864.0,62.35182550972025
1988-03-31,594.0,1967.0,55.71360834518729
1988-04-15,698.0,2351.0,42.43717401612138
1988-04-29,705.0,2355.0,42.57942152678995
1988-05-13,746.0,1737.0,73.82645803698435
1988-05-31,347.0,2224.0,31.816026552868657
1988-06-15,464.0,2639.0,17.68610715979137
1988-06-30,386.0,2479.0,21.5742057847321
1988-07-15,905.0,2533.0,43.62256993835941
1988-07-29,1238.0,2208.0,74.8221906116643
1988-08-15,2047.0,1868.0,100.0
1988-08-31,2375.0,2107.0,100.0
1988-09-15,1930.0,1508.0,100.0
1988-09-30,1650.0,1399.0,94.24242424242425
1988-10-14,882.0,2223.0,40.63973063973064
1988-10-31,1428.0,2248.0,58.18181818181818
1988-11-15,1495.0,1484.0,86.16161616161617
1988-11-30,1337.0,1788.0,70.60606060606061
1988-12-15,1457.0,2092.0,64.41077441077441
1988-12-30,1596.0,2759.0,46.63299663299663
1989-01-13,2281.0,3587.0,41.81818181818182
1989-01-31,2811.0,3246.0,71.14478114478115
1989-02-15,2858.0,3620.0,60.13468013468013
1989-02-28,2881.0,2773.0,89.42760942760943
1989-03-15,3101.0,2075.0,100.0
1989-03-31,3978.0,2803.0,100.0
1989-04-14,4066.0,3181.0,91.34328358208955
1989-04-28,4023.0,2672.0,100.0
1989-05-15,3809.0,2722.0,92.51276233692569
1989-05-31,3783.0,2693.0,92.597844583097
1989-06-15,3847.0,3473.0,72.29154849688032
1989-06-30,4006.0,3850.0,66.10890527509926
1989-07-14,3598.0,3397.0,66.60859465737515
1989-07-31,3462.0,4180.0,30.547163477677074
1989-08-15,3764.0,3873.0,45.76523031203566
1989-08-31,3683.0,3241.0,66.2332838038633
1989-09-15,3067.0,3189.0,45.28231797919762
1989-09-29,3125.0,3228.0,45.98811292719168
1989-10-13,3215.0,3486.0,39.74739970282318
1989-10-31,3545.0,2935.0,72.47399702823179
1989-11-15,3124.0,2689.0,65.52502822732404
1989-11-30,2636.0,2331.0,60.632292058712835
1989-12-15,1875.0,2704.0,17.952578095596536
1989-12-29,1963.0,2536.0,27.587504704554007
1990-01-15,2217.0,2415.0,41.70116672939405
1990-01-31,2110.0,2288.0,42.453895370718854
1990-02-15,1463.0,2238.0,2.477064220183486
1990-02-28,2201.0,2023.0,46.19266055045872
1990-03-15,2365.0,1875.0,60.5045871559633
1990-03-30,1959.0,1853.0,42.88990825688074
1990-04-12,1975.0,1647.0,53.07339449541284
1990-04-30,1984.0,1531.0,58.80733944954128
1990-05-15,1170.0,1995.0,0.1834862385321101
1990-05-31,1101.0,2037.0,0.0
1990-06-15,943.0,1767.0,5.528134254689043
1990-06-29,1516.0,1765.0,44.4372574385511
1990-07-13,1462.0,1357.0,67.33505821474773
1990-07-31,1816.0,938.0,100.0
1990-08-15,1738.0,614.0,100.0
1990-08-31,1663.0,975.0,78.83495145631068
1990-09-14,1705.0,841.0,87.37864077669903
