Date,Commercial Long,Commercial Short,Commercial Index
1987-01-30,14967.0,31314.0,34.47604876094546
1987-02-13,12619.0,35470.0,0.0
1987-02-27,15751.0,39821.0,0.0
1987-03-13,14140.0,38521.0,0.0
1987-03-31,14856.0,41516.0,0.0
1987-04-15,13243.0,43876.0,0.0
1987-04-30,14238.0,48554.0,0.0
1987-05-15,14412.0,56175.0,0.0
1987-05-29,15650.0,51008.0,19.048893647394717
1987-06-15,14698.0,46330.0,30.130264097073518
1987-06-30,13684.0,44885.0,31.412086604806092
1987-07-15,15783.0,42791.0,46.397912015345426
1987-07-31,14700.0,38100.0,57.74346718656646
1987-08-14,15755.0,38755.0,59.00128926763309
1987-08-31,16857.0,38082.0,64.58287475236628
1987-09-15,16668.0,35456.0,72.24615578126475
1987-09-30,16546.0,34676.0,74.31527310461935
1987-10-15,15176.0,30529.0,83.04770290242445
1987-10-30,14752.0,24784.0,99.77988113581334
1987-11-13,14641.0,25917.0,96.07954366392487
1987-11-30,15357.0,25582.0,99.39176199930667
1987-12-15,14307.0,21818.0,100.0
1987-12-31,14304.0,20227.0,100.0
1988-01-15,15728.0,18069.0,100.0
1988-01-29,15266.0,20577.0,92.46613566029122
1988-02-12,13305.0,29483.0,64.9003094718685
1988-02-29,17784.0,32700.0,68.10156765257977
1988-03-15,15804.0,32716.0,63.03840495154989
1988-03-31,18716.0,42065.0,46.70995890619451
1988-04-15,14058.0,38325.0,44.38130992846634
1988-04-29,14769.0,32639.0,60.60828978742834
1988-05-13,19871.0,33778.0,70.6610522043529
1988-05-31,19188.0,38134.0,57.8788493734463
1988-06-15,17766.0,30327.0,69.04624890208075
1988-06-30,18277.0,31273.0,63.62363866033935
1988-07-15,16940.0,31659.0,57.11018711018711
1988-07-29,17441.0,28898.0,63.04374265212632
1988-08-15,17530.0,31249.0,48.10726990787193
1988-08-31,18082.0,32062.0,46.91690230776248
1988-09-15,15910.0,32391.0,35.51035300556417
1988-09-30,14141.0,30017.0,38.2696342242087
1988-10-14,13538.0,32755.0,23.032016783727084
1988-10-31,12868.0,31079.0,27.620176958861624
1988-11-15,12485.0,31884.0,22.201952020432362
1988-11-30,12072.0,30734.0,25.5632582322357
1988-12-15,12828.0,25804.0,51.49594089209158
1988-12-30,11602.0,29147.0,30.65766669707197
1989-01-13,12576.0,30750.0,27.7889263887622
1989-01-31,14572.0,30483.0,38.110006385113564
1989-02-15,14570.0,30449.0,44.24984173876345
1989-02-28,15535.0,32041.0,60.585480093676814
1989-03-15,14391.0,33410.0,40.967993754879004
1989-03-31,15539.0,28781.0,86.06557377049181
1989-04-14,15952.0,27287.0,100.0
1989-04-28,16056.0,26748.0,100.0
1989-05-15,17502.0,27617.0,100.0
1989-05-31,19623.0,25353.0,100.0
1989-06-15,18461.0,23551.0,100.0
1989-06-30,19477.0,24503.0,100.0
1989-07-14,22087.0,26986.0,100.0
1989-07-31,22635.0,28053.0,96.42068965517241
1989-08-15,21776.0,25183.0,100.0
1989-08-31,21421.0,24734.0,100.0
1989-09-15,19111.0,25884.0,78.49061295536491
1989-09-29,13396.0,25863.0,43.09337311948278
1989-10-13,11549.0,26749.0,26.103443988561484
1989-10-31,11227.0,26849.0,23.480044759418128
1989-11-15,13322.0,28264.0,27.707323138132537
1989-11-30,11671.0,30370.0,4.351610095735422
1989-12-15,9951.0,27263.0,10.868457914172927
1989-12-29,12248.0,29949.0,8.391697440468612
1990-01-15,14384.0,37046.0,0.0
1990-01-31,14961.0,34060.0,18.414388340482713
1990-02-15,14386.0,35888.0,5.995141867796785
1990-02-28,16831.0,34457.0,26.02718486743501
1990-03-15,20379.0,38833.0,21.74789394800765
1990-03-30,18329.0,38534.0,12.698330663083363
1990-04-12,18776.0,37946.0,18.047444312367563
1990-04-30,17443.0,33099.0,36.208589591193345
1990-05-15,19408.0,34934.0,36.88045893844643
1990-05-31,18876.0,37460.0,21.07602460075456
1990-06-15,21576.0,30013.0,73.51801126673213
1990-06-29,19513.0,24578.0,90.94526848932762
1990-07-13,18957.0,25395.0,83.84929453718539
1990-07-31,18993.0,26711.0,77.23396557961652
1990-08-15,18114.0,25897.0,76.89803090598997
1990-08-31,18642.0,21040.0,100.0
1990-09-14,18400.0,21430.0,96.88116857481248
1990-09-28,17080.0,23223.0,81.51894986182393
1990-10-15,18231.0,23430.0,86.17745756020528
1990-10-31,18821.0,23696.0,87.7763521515989
1990-11-15,19221.0,26101.0,77.88195815238848
1990-11-30,18739.0,27884.0,66.70450059218318
1990-12-14,18155.0,24969.0,78.20765890248717
1990-12-31,18170.0,24321.0,81.47947098302409
1991-01-15,21797.0,24310.0,99.43249111725227
1991-01-31,22677.0,26554.0,92.70134228187919
1991-02-15,20473.0,29899.0,63.21189279731993
1991-02-28,18312.0,31425.0,43.912269681742046
1991-03-15,18749.0,37772.0,6.63783905205818
1991-03-28,21546.0,41371.0,2.1339922502386703
1991-04-15,19667.0,36612.0,18.30740719941596
1991-04-30,20505.0,35236.0,29.23050438974006
1991-05-15,18974.0,32602.0,35.55976358524129
1991-05-31,21287.0,32455.0,49.67579044012165
1991-06-14,18853.0,29698.0,51.529236242612036
1991-06-28,18096.0,21917.0,91.83450966890457
1991-07-15,14796.0,21197.0,77.0298961381764
1991-07-31,17088.0,18596.0,100.0
1991-08-15,18898.0,18272.0,100.0
1991-08-30,22049.0,20447.0,100.0
1991-09-16,23416.0,21092.0,100.0
1991-09-30,20306.0,21569.0,83.80513792947762
1991-10-15,21727.0,22480.0,86.10772495372251
1991-10-31,15901.0,21535.0,64.07061266874351
1991-11-15,19452.0,26350.0,58.36380874983069
1991-11-29,18404.0,29691.0,38.54801571177028
1991-12-13,19542.0,28039.0,51.144521197345256
1991-12-31,17682.0,21930.0,70.32823152286785
1992-01-15,24879.0,24886.0,89.47582283624543
1992-01-31,26029.0,31959.0,62.73420921937785
1992-02-14,28040.0,38614.0,41.767122669195
1992-02-28,31031.0,39865.0,49.623007810736375
1992-03-13,31412.0,44226.0,31.653799268590003
1992-03-31,30014.0,45741.0,18.501963971285385
1992-04-15,27668.0,43479.0,18.1227143437627
1992-04-30,25622.0,42680.0,0.0
1992-05-15,25530.0,41333.0,6.4750799711072125
1992-05-29,25862.0,37470.0,28.118873181302238
1992-06-15,22222.0,33648.0,29.05788876276958
1992-06-30,22730.0,30317.0,48.86492622020431
1992-07-15,24398.0,31378.0,51.99669796718605
1992-07-31,20239.0,31199.0,31.462181405427717
1992-08-14,20627.0,27962.0,50.16510164069756
1992-08-31,20429.0,26473.0,56.82592095758952
1992-09-15,21782.0,27823.0,56.84139923640491
1992-09-30,20508.0,25877.0,60.308533691053555
1992-10-06,20070.0,26900.0,59.98475162747053
1992-10-13,19123.0,28852.0,42.98281625711102
1992-10-20,18431.0,29495.0,35.153363439094484
1992-10-27,17486.0,29905.0,27.206615447774325
1992-11-03,19402.0,30842.0,32.948214180986454
1992-11-10,20330.0,30897.0,38.0681484956894
1992-11-17,21615.0,32206.0,37.92739428772506
1992-11-24,22523.0,32037.0,44.24373937012492
1992-12-01,21692.0,31282.0,63.8891265292155
1992-12-08,19651.0,30278.0,55.01753785610403
1992-12-15,22022.0,31716.0,62.99940114637693
1992-12-22,20217.0,30398.0,58.83309094020019
1992-12-29,20033.0,29099.0,68.37197365044058
1993-01-05,20177.0,29554.0,65.71135255368294
1993-01-12,24845.0,31741.0,86.9364359654376
1993-01-19,26304.0,33252.0,84.86678167529232
1993-01-26,27921.0,34701.0,79.98581560283688
1993-02-02,27686.0,32088.0,100.0
1993-02-09,29999.0,31956.0,100.0
1993-02-16,27742.0,30304.0,94.21716688969605
1993-02-23,26721.0,32106.0,67.23379850888931
1993-03-02,25650.0,33266.0,45.90900401452877
1993-03-09,27058.0,34665.0,45.99502963104569
1993-03-16,28053.0,35670.0,45.899445612693555
1993-03-23,28611.0,41035.0,0.0
1993-03-30,29228.0,40008.0,15.706506162224134
1993-04-06,22588.0,35829.0,0.0
1993-04-13,22764.0,34206.0,15.942928039702233
1993-04-20,23271.0,31652.0,43.06983339241404
1993-04-27,21474.0,32190.0,22.376816731655442
1993-05-04,21281.0,34332.0,1.683800070896845
1993-05-11,22366.0,33780.0,16.19106699751861
1993-05-18,22791.0,32823.0,28.438496986884083
1993-05-25,22801.0,32635.0,30.19319390287132
1993-06-01,22189.0,31471.0,35.08507621410847
1993-06-08,20647.0,34334.0,0.0
1993-06-15,21070.0,33703.0,8.985507246376812
1993-06-22,21264.0,33558.0,11.875532821824383
1993-06-29,21825.0,33879.0,13.92156862745098
1993-07-06,23731.0,35734.0,14.356351236146633
1993-07-13,24672.0,35453.0,24.774083546462062
1993-07-20,27164.0,30928.0,84.59505541346974
