Date,Commercial Long,Commercial Short,Commercial Index
1987-01-30,5138.0,6482.0,95.34153994689838
1987-02-13,5505.0,5855.0,100.0
1987-02-27,6900.0,7168.0,100.0
1987-03-13,6243.0,5662.0,100.0
1987-03-31,5716.0,4098.0,100.0
1987-04-15,5601.0,4313.0,95.22569444444444
1987-04-30,6157.0,4718.0,97.41030092592592
1987-05-15,5225.0,4532.0,86.61747685185185
1987-05-29,5422.0,5082.0,81.51041666666667
1987-06-15,4773.0,5236.0,69.89293981481481
1987-06-30,4762.0,4818.0,75.78125
1987-07-15,4194.0,4438.0,73.0613425925926
1987-07-31,3404.0,4236.0,64.55439814814815
1987-08-14,3161.0,5094.0,48.6255787037037
1987-08-31,2866.0,4987.0,45.9056712962963
1987-09-15,2732.0,5452.0,37.239583333333336
1987-09-30,3192.0,6176.0,33.420138888888886
1987-10-15,4097.0,6868.0,36.501736111111114
1987-10-30,4476.0,5952.0,55.23726851851852
1987-11-13,3897.0,6489.0,39.09143518518518
1987-11-30,4477.0,6619.0,45.601851851851855
1987-12-15,5113.0,6711.0,53.47222222222222
1987-12-31,5740.0,6745.0,62.051504629629626
1988-01-15,5927.0,4712.0,91.37044967880085
1988-01-29,7997.0,4079.0,100.0
1988-02-12,9157.0,3569.0,100.0
1988-02-29,12419.0,3508.0,100.0
1988-03-15,13037.0,3597.0,100.0
1988-03-31,12440.0,3121.0,99.0260785576304
1988-04-15,11101.0,3347.0,86.42949130714746
1988-04-29,9411.0,2953.0,75.99806825499034
1988-05-13,8098.0,3204.0,63.40952994204765
1988-05-31,7672.0,3308.0,59.143593045717964
1988-06-15,6433.0,4769.0,37.41146168705731
1988-06-30,5558.0,5929.0,21.03187379265937
1988-07-15,5801.0,6480.0,18.552801030264003
1988-07-29,5913.0,6769.0,17.128139085640697
1988-08-15,5567.0,7440.0,8.942369607211848
1988-08-31,5504.0,6426.0,16.596909207984545
1988-09-15,5349.0,4489.0,30.94011590470058
1988-09-30,4949.0,3702.0,34.055054732775275
1988-10-14,3410.0,4605.0,14.399549259497746
1988-10-31,3120.0,5205.0,5.617885513061993
1988-11-15,4403.0,5503.0,12.400265957446809
1988-11-30,5068.0,4828.0,23.53723404255319
