Date,Commercial Long,Commercial Short,Commercial Index
1987-01-30,9138.0,15512.0,44.270165128502256
1987-02-13,13939.0,12818.0,75.28866448702561
1987-02-27,14129.0,14942.0,66.37601020842195
1987-03-13,12479.0,11962.0,71.55895838740375
1987-03-31,5295.0,13081.0,35.643221731983736
1987-04-15,8381.0,16689.0,33.385240937797384
1987-04-30,9186.0,16523.0,37.58543126568042
1987-05-15,8182.0,17040.0,31.00614239986158
1987-05-29,12973.0,16451.0,54.278051734579115
1987-06-15,10832.0,15011.0,51.24578250713729
1987-06-30,7933.0,10368.0,58.78968768924648
1987-07-15,9842.0,8418.0,75.48230815814517
1987-07-31,11831.0,10963.0,73.07725581797733
1987-08-14,11020.0,10531.0,71.4378406436543
1987-08-31,6847.0,16142.0,27.18183434056168
1987-09-15,7484.0,10647.0,54.43032349804479
1987-09-30,9357.0,5513.0,85.56701030927834
1987-10-15,4921.0,13840.0,28.85264841805901
1987-10-30,8915.0,19017.0,23.59580519018841
1987-11-13,12869.0,19109.0,22.461323717575898
1987-11-30,17840.0,26598.0,9.637171948945934
1987-12-15,15141.0,12555.0,90.97949232754912
1987-12-31,8529.0,9376.0,66.36311487164778
1988-01-15,9334.0,12738.0,48.028108418184424
1988-01-29,13697.0,13212.0,75.91424064247813
1988-02-12,17220.0,15943.0,81.59328839810698
1988-02-29,14604.0,15781.0,63.996844973469095
1988-03-15,14092.0,16433.0,55.65036569625699
1988-03-31,5760.0,14870.0,7.113150724221999
1988-04-15,8483.0,13224.0,38.44113007313925
1988-04-29,12023.0,9906.0,87.61652086619819
1988-05-13,18336.0,10940.0,100.0
1988-05-31,23450.0,11135.0,100.0
1988-06-15,11952.0,2902.0,85.43516081545256
1988-06-30,9351.0,6642.0,57.14859258598385
1988-07-15,14054.0,11507.0,56.425926752018555
1988-07-29,14769.0,10460.0,64.28603292144355
1988-08-15,15330.0,14554.0,48.5256724807066
1988-08-31,16838.0,15866.0,49.40000892180042
1988-09-15,20981.0,19144.0,53.258687603158315
1988-09-30,6888.0,4555.0,55.471294107150825
1988-10-14,4730.0,15313.0,0.0
1988-10-31,6322.0,23967.0,0.0
1988-11-15,7631.0,27124.0,0.0
1988-11-30,7760.0,26457.0,2.5025150905432594
1988-12-15,14809.0,17322.0,53.3827967806841
1988-12-30,7080.0,5689.0,65.65643863179075
1989-01-13,12329.0,5655.0,82.26546780684104
1989-01-31,16170.0,2787.0,100.0
1989-02-15,10474.0,12120.0,54.285801192359166
1989-02-28,10047.0,13148.0,49.86008030173987
1989-03-15,16857.0,1650.0,100.0
1989-03-31,20296.0,2279.0,100.0
1989-04-14,11483.0,7078.0,63.711010397227405
1989-04-28,17167.0,4558.0,85.58251133031192
1989-05-15,21897.0,7372.0,90.69048253798987
1989-05-31,17742.0,16057.0,56.45961077046121
1989-06-15,18239.0,23715.0,37.36870167955212
1989-06-30,2147.0,13672.0,21.242335377232738
1989-07-14,7456.0,18243.0,23.209810717142094
1989-07-31,7770.0,24570.0,7.179418821647561
1989-08-15,17726.0,16791.0,54.460143961610235
1989-08-31,25889.0,16406.0,77.24873367102106
1989-09-15,30558.0,15037.0,93.34577446014396
1989-09-29,8034.0,11250.0,43.39376166355638
1989-10-13,10630.0,6929.0,61.834177552652626
1989-10-31,11097.0,17862.0,33.93228472407358
1989-11-15,16213.0,16469.0,51.284990669154894
1989-11-30,12560.0,29689.0,6.302319381498267
1989-12-15,22434.0,46561.0,0.0
1989-12-29,4547.0,24086.0,10.886484434320424
1990-01-15,7205.0,23455.0,18.690679574791194
1990-01-31,9998.0,25459.0,20.56283219438117
1990-02-15,14649.0,19970.0,44.62319665907365
1990-02-28,16233.0,21393.0,45.005220197418375
1990-03-15,17811.0,16247.0,60.96004176157935
1990-03-30,8724.0,11277.0,51.191154138192864
1990-04-12,2882.0,19954.0,16.74022399392559
1990-04-30,2107.0,23642.0,6.5375302663438255
1990-05-15,3823.0,29185.0,0.0
1990-05-31,14295.0,20328.0,47.278820047452484
1990-06-15,18803.0,21678.0,55.00330210600983
1990-06-29,5891.0,18852.0,30.332901205880194
1990-07-13,7888.0,25062.0,20.0278844507497
1990-07-31,7727.0,22839.0,25.07154563021305
1990-08-15,10401.0,31408.0,10.652349387275885
1990-08-31,17819.0,27586.0,38.14543942469975
1990-09-14,23110.0,29734.0,45.833231416481176
1990-09-28,5646.0,13573.0,42.64608761587946
1990-10-15,7860.0,16362.0,58.01190517152393
1990-10-31,16196.0,15749.0,88.80363348587551
1990-11-15,12665.0,24748.0,49.31664562133254
1990-11-30,18756.0,15313.0,100.0
1990-12-14,23387.0,17182.0,100.0
1990-12-31,24780.0,6352.0,100.0
1991-01-15,18234.0,7299.0,82.88878739438228
1991-01-31,14900.0,10304.0,68.41287965288879
1991-02-15,16960.0,11561.0,70.24663165106189
1991-02-28,27888.0,9974.0,98.82621603105731
1991-03-15,48497.0,23323.0,100.0
1991-03-28,24169.0,3720.0,90.6502295393383
1991-04-15,22638.0,6881.0,81.3657590628463
1991-04-30,25920.0,11403.0,78.9120626879848
1991-05-15,22722.0,18635.0,58.27331011556118
1991-05-31,25449.0,9652.0,81.44491055880957
1991-06-14,41515.0,20608.0,90.76026937485113
1991-06-28,23406.0,3186.0,89.27264459409714
1991-07-15,22875.0,5957.0,82.12251791862454
1991-07-31,19629.0,12179.0,61.62057989216344
1991-08-15,19962.0,13442.0,59.606764686775946
1991-08-30,24787.0,11294.0,74.70604794179424
1991-09-16,14867.0,19204.0,20.790723890812465
1991-09-30,2393.0,9678.0,12.87811686394503
1991-10-15,9689.0,6634.0,40.6312907641517
1991-10-31,7533.0,7953.0,31.30418444856
1991-11-15,6160.0,17215.0,2.7592130337923075
1991-11-29,5744.0,16850.0,2.6223260058512494
1991-12-13,13540.0,27376.0,0.0
1991-12-31,3078.0,16739.0,0.4486029223276083
1992-01-15,7240.0,10374.0,27.43399128428608
1992-01-31,15865.0,6660.0,59.06434247628813
1992-02-14,24535.0,6003.0,82.97359651371443
1992-02-28,30569.0,7477.0,94.66290694693669
1992-03-13,49401.0,25115.0,97.7236605998462
1992-03-31,22930.0,6137.0,78.51576518841323
1992-04-15,30485.0,7183.0,97.41881328366823
1992-04-30,27954.0,9968.0,83.47410943811973
1992-05-15,19501.0,20382.0,33.98300194113635
1992-05-29,18374.0,23307.0,23.353968836892083
1992-06-15,17961.0,27969.0,10.041445884266302
1992-06-30,1756.0,19009.0,0.0
1992-07-15,2243.0,17973.0,3.6664339536339345
1992-07-31,8547.0,15425.0,24.97652808204338
1992-08-14,8948.0,17602.0,20.70102794963769
