Date,Commercial Long,Commercial Short,Commercial Index
1995-03-28,1375.0,1514.0,49.680851063829785
1995-04-04,1371.0,1618.0,38.191489361702125
1995-04-11,1355.0,1455.0,53.829787234042556
1995-04-18,1191.0,1652.0,15.55793991416309
1995-04-25,1317.0,2043.0,0.0
1995-05-02,1205.0,1795.0,15.454545454545455
1995-05-09,1359.0,1969.0,13.181818181818182
1995-05-16,930.0,2004.0,0.0
1995-05-23,1307.0,2506.0,0.0
1995-05-30,1747.0,2753.0,14.577039274924472
1995-06-06,1715.0,3295.0,0.0
1995-06-13,1263.0,1729.0,65.33724340175954
1995-06-20,1279.0,1884.0,57.18475073313783
1995-06-27,1376.0,1906.0,61.58357771260997
1995-07-03,1549.0,2061.0,62.639296187683286
1995-07-11,1443.0,2126.0,52.6099706744868
1995-07-18,1589.0,2302.0,50.85043988269795
1995-07-25,1608.0,2305.0,51.78885630498534
1995-08-01,1364.0,2077.0,50.85043988269795
1995-08-08,1364.0,1778.0,68.38709677419355
1995-08-15,1360.0,1777.0,68.21114369501467
1995-08-22,1269.0,1736.0,65.27859237536657
1995-08-29,1339.0,1787.0,75.97315436241611
1995-09-05,1172.0,1712.0,69.79865771812081
1995-09-12,1320.0,1792.0,74.86486486486487
1995-09-19,1625.0,1743.0,98.78378378378379
1995-09-26,1715.0,1761.0,100.0
1995-10-03,1548.0,1642.0,96.870925684485
1995-10-10,1339.0,1584.0,87.02737940026076
1995-10-17,1414.0,1602.0,90.74315514993481
1995-10-24,1168.0,1473.0,83.11603650586702
1995-10-31,1133.0,1668.0,68.122555410691
1995-11-07,903.0,1700.0,51.04302477183833
1995-11-14,932.0,1785.0,47.392438070404175
1995-11-21,1123.0,1641.0,69.23076923076923
1995-11-28,1100.0,1691.0,64.47196870925684
1995-12-05,1312.0,1681.0,59.97521685254027
1995-12-12,1443.0,1814.0,59.727385377943
1995-12-19,1457.0,1948.0,44.85749690210657
1995-12-26,1557.0,2043.0,45.47707558859975
1996-01-02,1527.0,1881.0,61.833952912019825
1996-01-09,1273.0,1644.0,59.727385377943
1996-01-16,1310.0,1608.0,68.77323420074349
1996-01-23,1376.0,1159.0,100.0
